category,district,chapter,year,days_to_outcome,disposition
no_info_dismiss,txsbk,13,2009,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,399,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,109,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,16,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,32,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,18,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,151,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,247,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,108,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,784,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,16,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,54,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,770,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2009,63,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,17,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,111,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,101,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,50,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,48,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,64,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,487,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,50,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2010,367,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,52,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,81,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2011,59,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,146,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,230,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,50,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,54,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2012,16,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2013,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2013,351,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2013,47,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2013,46,Dismissed for Failure to File Information
no_info_dismiss,txsbk,7,2013,49,Dismissed for Failure to File Information
no_info_dismiss,txsbk,13,2014,46,Dismissed for Failure to File Information
