district,chapter,discharged,dismissed,terminated_other,converted,pending_or_unknown,total,discharge_rate_pct,dismissal_rate_pct
scbk,7,1,0,211,0,89,301,0.33,0.0
tnwbk,11,0,0,56,0,65,121,0.0,0.0
tnwbk,13,137,574,427,0,112,1250,10.96,45.92
tnwbk,7,427,18,114,0,9,568,75.18,3.17
tnwbk,AP,0,2,39,0,0,41,0.0,4.88
txnbk,11,0,1,153,0,413,567,0.0,0.18
txnbk,13,1,0,196,0,94,291,0.34,0.0
txnbk,7,4,0,175,0,141,320,1.25,0.0
txsbk,11,1,75,142,0,32,250,0.4,30.0
txsbk,13,6239,10244,1069,0,1089,18641,33.47,54.95
txsbk,7,10594,203,418,0,295,11510,92.04,1.76
vaebk,11,0,1,143,0,60,204,0.0,0.49
vaebk,13,56,20,284,0,186,546,10.26,3.66
vaebk,7,3,2,424,0,83,512,0.59,0.39
vaebk,AP,0,7,67,0,0,74,0.0,9.46
wawbk,7,29,1,1,0,0,31,93.55,3.23
wiebk,13,215,306,25,0,3,549,39.16,55.74
wiebk,7,880,6,17,0,0,903,97.45,0.66
wiebk,AP,0,9,57,0,0,66,0.0,13.64
wiwbk,13,19,19,1,0,0,39,48.72,48.72
wiwbk,7,49,0,1,0,0,50,98.0,0.0
wvnbk,7,51,1,1,0,0,53,96.23,1.89
