court,date,filings,court_mean_daily,court_stdev,z_score
ohsbk,2023-08-18,4,1.2,0.9,3.13
ohsbk,2025-05-16,4,1.2,0.9,3.13
ohsbk,2025-12-08,4,1.2,0.9,3.13
flsbk,2001-01-31,29,5.5,7.5,3.12
flsbk,2002-02-19,29,5.5,7.5,3.12
flsbk,2002-04-22,29,5.5,7.5,3.12
flsbk,2002-05-06,29,5.5,7.5,3.12
flsbk,2002-08-19,29,5.5,7.5,3.12
flsbk,2003-02-21,29,5.5,7.5,3.12
flsbk,2003-04-15,29,5.5,7.5,3.12
flsbk,2003-05-19,29,5.5,7.5,3.12
flsbk,2003-09-15,29,5.5,7.5,3.12
flsbk,2010-02-22,29,5.5,7.5,3.12
flsbk,2013-09-06,29,5.5,7.5,3.12
flsbk,2019-02-28,29,5.5,7.5,3.12
ksbk,2004-06-22,20,5.2,4.8,3.11
ksbk,2005-04-15,20,5.2,4.8,3.11
ksbk,2005-10-07,20,5.2,4.8,3.11
ksbk,2007-06-27,20,5.2,4.8,3.11
ksbk,2007-10-31,20,5.2,4.8,3.11
ksbk,2015-03-31,20,5.2,4.8,3.11
ksbk,2016-08-31,20,5.2,4.8,3.11
ksbk,2017-11-30,20,5.2,4.8,3.11
ksbk,2019-04-30,20,5.2,4.8,3.11
flmbk,2003-04-02,7,2.0,1.6,3.05
flmbk,2003-04-29,7,2.0,1.6,3.05
flmbk,2003-05-13,7,2.0,1.6,3.05
flmbk,2003-06-10,7,2.0,1.6,3.05
flmbk,2003-06-23,7,2.0,1.6,3.05
flmbk,2003-07-31,7,2.0,1.6,3.05
flmbk,2003-10-17,7,2.0,1.6,3.05
flmbk,2003-10-31,7,2.0,1.6,3.05
flmbk,2004-04-05,7,2.0,1.6,3.05
flmbk,2004-06-14,7,2.0,1.6,3.05
flmbk,2010-02-09,7,2.0,1.6,3.05
flmbk,2023-06-30,7,2.0,1.6,3.05
flmbk,2023-08-14,7,2.0,1.6,3.05
flmbk,2024-06-11,7,2.0,1.6,3.05
flmbk,2024-08-28,7,2.0,1.6,3.05
flmbk,2025-03-31,7,2.0,1.6,3.05
flmbk,2025-04-01,7,2.0,1.6,3.05
flmbk,2025-04-29,7,2.0,1.6,3.05
flmbk,2025-06-24,7,2.0,1.6,3.05
flmbk,2025-06-26,7,2.0,1.6,3.05
flmbk,2025-07-17,7,2.0,1.6,3.05
flmbk,2025-08-15,7,2.0,1.6,3.05
flmbk,2025-09-17,7,2.0,1.6,3.05
flmbk,2025-09-29,7,2.0,1.6,3.05
flmbk,2025-10-07,7,2.0,1.6,3.05
flmbk,2026-03-04,7,2.0,1.6,3.05
flmbk,2026-03-12,7,2.0,1.6,3.05
kyebk,2019-06-19,4,1.3,0.9,3.04
kyebk,2019-10-04,4,1.3,0.9,3.04
kyebk,2020-01-24,4,1.3,0.9,3.04
kyebk,2020-03-10,4,1.3,0.9,3.04
kyebk,2020-05-30,4,1.3,0.9,3.04
kyebk,2024-12-17,4,1.3,0.9,3.04
mowbk,2003-10-07,22,5.4,5.5,3.03
mowbk,2004-09-14,22,5.4,5.5,3.03
mowbk,2004-12-07,22,5.4,5.5,3.03
mowbk,2005-09-07,22,5.4,5.5,3.03
mowbk,2006-02-28,22,5.4,5.5,3.03
mowbk,2006-05-31,22,5.4,5.5,3.03
mowbk,2007-01-31,22,5.4,5.5,3.03
mowbk,2007-03-28,22,5.4,5.5,3.03
mowbk,2008-04-30,22,5.4,5.5,3.03
mowbk,2010-08-31,22,5.4,5.5,3.03
mowbk,2013-07-31,22,5.4,5.5,3.03
mowbk,2014-09-30,22,5.4,5.5,3.03
ilnbk,1997-06-11,19,2.9,5.3,3.02
ilnbk,1997-11-05,19,2.9,5.3,3.02
ilnbk,1998-04-29,19,2.9,5.3,3.02
ilnbk,1998-05-27,19,2.9,5.3,3.02
ilnbk,1999-09-23,19,2.9,5.3,3.02
ilnbk,2019-03-22,19,2.9,5.3,3.02
flsbk,2002-05-13,28,5.5,7.5,2.99
flsbk,2002-07-12,28,5.5,7.5,2.99
flsbk,2003-04-14,28,5.5,7.5,2.99
flsbk,2003-08-04,28,5.5,7.5,2.99
flsbk,2011-09-30,28,5.5,7.5,2.99
flsbk,2012-02-29,28,5.5,7.5,2.99
flsbk,2012-10-31,28,5.5,7.5,2.99
flsbk,2012-12-05,28,5.5,7.5,2.99
flsbk,2013-03-07,28,5.5,7.5,2.99
flsbk,2018-10-31,28,5.5,7.5,2.99
flsbk,2019-05-31,28,5.5,7.5,2.99
flsbk,2025-03-07,28,5.5,7.5,2.99
mabk,2008-10-27,12,2.1,3.3,2.99
mabk,2008-10-29,12,2.1,3.3,2.99
mabk,2008-11-04,12,2.1,3.3,2.99
mabk,2009-01-22,12,2.1,3.3,2.99
txsbk,1997-08-04,25,4.3,6.9,2.99
txsbk,2004-10-01,25,4.3,6.9,2.99
txsbk,2005-01-31,25,4.3,6.9,2.99
txsbk,2005-10-11,25,4.3,6.9,2.99
txsbk,2008-02-04,25,4.3,6.9,2.99
txsbk,2010-10-04,25,4.3,6.9,2.99
txnbk,2026-01-25,18,1.7,5.6,2.9
txsbk,1999-12-06,24,4.3,6.9,2.84
txsbk,2000-12-29,24,4.3,6.9,2.84
txsbk,2003-10-06,24,4.3,6.9,2.84
txsbk,2003-10-07,24,4.3,6.9,2.84
txsbk,2004-08-17,24,4.3,6.9,2.84
txsbk,2004-09-06,24,4.3,6.9,2.84
txsbk,2004-10-02,24,4.3,6.9,2.84
txsbk,2005-07-04,24,4.3,6.9,2.84
txsbk,2005-10-06,24,4.3,6.9,2.84
txsbk,2005-12-05,24,4.3,6.9,2.84
txsbk,2007-12-03,24,4.3,6.9,2.84
txsbk,2010-03-01,24,4.3,6.9,2.84
txsbk,2010-05-03,24,4.3,6.9,2.84
txsbk,2010-05-28,24,4.3,6.9,2.84
txsbk,2011-02-28,24,4.3,6.9,2.84
txsbk,2013-12-02,24,4.3,6.9,2.84
txsbk,2015-11-02,24,4.3,6.9,2.84
ilnbk,1997-08-06,18,2.9,5.3,2.83
ilnbk,1997-08-27,18,2.9,5.3,2.83
ilnbk,1998-04-01,18,2.9,5.3,2.83
ilnbk,1999-07-15,18,2.9,5.3,2.83
ilnbk,2000-02-24,18,2.9,5.3,2.83
txsbk,1997-06-02,23,4.3,6.9,2.7
txsbk,2003-04-01,23,4.3,6.9,2.7
txsbk,2005-09-21,23,4.3,6.9,2.7
txsbk,2007-03-05,23,4.3,6.9,2.7
txsbk,2008-06-02,23,4.3,6.9,2.7
txsbk,2010-12-06,23,4.3,6.9,2.7
txsbk,2012-07-02,23,4.3,6.9,2.7
mabk,2008-05-08,11,2.1,3.3,2.69
ilnbk,1997-10-22,17,2.9,5.3,2.64
ilnbk,1997-12-10,17,2.9,5.3,2.64
ilnbk,1997-12-17,17,2.9,5.3,2.64
ilnbk,1998-03-11,17,2.9,5.3,2.64
ilnbk,1999-02-24,17,2.9,5.3,2.64
ilnbk,1999-09-02,17,2.9,5.3,2.64
ilnbk,2000-02-10,17,2.9,5.3,2.64
txsbk,1998-07-06,22,4.3,6.9,2.55
txsbk,2001-02-05,22,4.3,6.9,2.55
txsbk,2002-06-03,22,4.3,6.9,2.55
txsbk,2005-06-04,22,4.3,6.9,2.55
txsbk,2006-02-06,22,4.3,6.9,2.55
txsbk,2006-09-04,22,4.3,6.9,2.55
txsbk,2007-04-02,22,4.3,6.9,2.55
txsbk,2011-04-04,22,4.3,6.9,2.55
txsbk,2011-09-02,22,4.3,6.9,2.55
ilnbk,1997-02-19,16,2.9,5.3,2.45
ilnbk,1997-06-18,16,2.9,5.3,2.45
ilnbk,2000-10-19,16,2.9,5.3,2.45
ilnbk,1997-03-19,15,2.9,5.3,2.27
ilnbk,1997-03-26,15,2.9,5.3,2.27
ilnbk,1997-12-03,15,2.9,5.3,2.27
ilnbk,1999-06-10,15,2.9,5.3,2.27
ilnbk,2000-05-04,15,2.9,5.3,2.27
ilnbk,2000-11-02,15,2.9,5.3,2.27
ilnbk,2000-11-16,15,2.9,5.3,2.27
ilnbk,2009-10-23,15,2.9,5.3,2.27
ilnbk,2010-02-26,15,2.9,5.3,2.27
txnbk,2024-07-18,12,1.7,5.6,1.83
