district,n,p25_days,p50_days,p75_days,p90_days
mowbk,19452,96,102,119,225
flsbk,18530,99,104,117,284
ksbk,17269,98,113,147,295
txsbk,10594,96,104,133,469
cacbk,4987,101,103,109,122
ilnbk,3257,102,109,115,134
ohnbk,3068,98,103,112,162
flmbk,2846,97,105,122,207
mabk,1183,108,122,168,327
nyebk,980,108,118,140,188
wiebk,880,100,108,121,218
caebk,593,100,105,120,130
moebk,538,98,103,114,228
njbk,435,95,99,112,161
tnwbk,427,102,115,162,304
mnbk,377,90,94,98,102
ganbk,318,106,112,124,205
insbk,251,99,111,179,512
flnbk,209,100,112,126,517
